;Product Progress;Logins;Start Date;Last Activity At;Days Lapsed;Months Lapsed
1720;91;105;2018-09-11;2019-06-04;38.0;9.5
1721;81;76;2018-09-10;2023-03-07;234.14;58.54
1722;41;140;2018-09-10;2022-05-27;193.57;48.39
1723;5;47;2018-09-10;2018-10-03;3.29;0.82
1724;1;5;2018-09-09;2019-07-24;45.43;11.36
1725;15;63;2018-09-10;2019-02-18;23.0;5.75
1727;78;74;2018-09-09;2019-10-21;58.14;14.54
1728;82;40;2018-10-15;2020-07-03;89.57;22.39
1729;84;127;2018-09-10;2020-02-17;75.0;18.75
1730;5;11;2018-09-16;2018-09-27;1.57;0.39
1731;6;8;2018-09-25;2018-12-07;10.43;2.61
1732;14;46;2018-09-10;2020-09-29;107.14;26.78
1733;16;12;2018-09-19;2018-10-30;5.86;1.46
1735;42;89;2018-09-13;2023-03-24;236.14;59.04
1736;22;71;2018-09-10;2019-07-23;45.14;11.28
1738;4;31;2018-09-12;2020-10-07;108.0;27.0
1739;3;6;2018-09-10;2018-09-24;2.0;0.5
1740;24;44;2018-09-11;2019-11-26;63.0;15.75
1741;98;219;2018-09-09;2023-03-05;234.0;58.5
1742;97;96;2019-04-22;2021-04-27;105.14;26.28
1743;50;109;2018-09-09;2021-04-02;133.71;33.43
1744;12;29;2018-11-05;2021-09-02;147.43;36.86
1745;92;149;2018-09-10;2022-12-18;222.86;55.72
1746;45;36;2018-09-11;2021-10-27;163.14;40.78
1747;61;217;2018-09-10;2021-04-08;134.43;33.61
1749;51;171;2018-09-12;2021-02-06;125.43;31.36
1750;7;15;2018-09-10;2018-12-30;15.86;3.96
1751;7;16;2018-09-11;2018-11-16;9.43;2.36
1752;10;20;2018-09-18;2020-12-15;117.0;29.25
1753;31;129;2018-09-10;2022-01-14;174.57;43.64
1754;69;339;2018-09-22;2020-10-25;109.14;27.28
1755;11;20;2018-09-12;2022-01-19;175.0;43.75
1756;80;162;2018-09-17;2021-11-28;166.86;41.72
1757;5;14;2018-09-11;2018-09-29;2.57;0.64
1758;49;33;2018-09-10;2019-01-12;17.71;4.43
1759;92;152;2018-09-10;2020-06-25;93.43;23.36
1760;24;27;2018-09-10;2019-03-12;26.14;6.54
1761;17;35;2018-09-10;2022-05-22;192.86;48.22
1762;10;17;2018-09-20;2019-12-18;64.86;16.22
1763;5;8;2018-09-11;2018-11-08;8.29;2.07
1764;79;182;2018-09-09;2023-01-06;225.71;56.43
1765;1;4;2022-04-02;2022-04-20;2.57;0.64
1766;92;130;2018-09-10;2022-10-20;214.43;53.61
1768;83;87;2018-09-12;2023-04-27;241.14;60.28
1769;37;34;2018-09-22;2023-04-29;240.0;60.0
1770;82;88;2018-09-11;2021-12-18;170.57;42.64
1771;15;24;2018-12-12;2019-07-23;31.86;7.96
1772;34;70;2018-09-10;2021-09-15;157.29;39.32
1773;83;46;2018-09-10;2019-07-10;43.29;10.82
1774;24;47;2018-09-13;2023-03-04;233.29;58.32
1775;12;22;2018-09-10;2020-07-04;94.71;23.68
1776;58;77;2018-09-11;2019-09-09;51.86;12.96
1777;34;86;2018-09-11;2020-07-17;96.43;24.11
1778;89;64;2018-09-10;2022-09-22;210.43;52.61
1779;90;193;2018-09-11;2023-04-24;240.86;60.22
1780;1;6;2018-09-25;2021-10-27;161.14;40.28
1782;4;5;2018-09-10;2018-09-19;1.29;0.32
1783;19;63;2018-09-10;2022-09-12;209.0;52.25
1784;1;10;2018-09-16;2019-07-14;43.0;10.75
1785;5;10;2018-09-11;2019-10-12;56.57;14.14
1786;48;39;2018-09-11;2020-09-23;106.14;26.54
1787;82;58;2018-09-12;2019-04-25;32.14;8.04
1788;88;100;2018-09-10;2020-11-05;112.43;28.11
1789;41;35;2018-09-09;2019-06-14;39.71;9.93
1790;91;194;2018-09-13;2021-05-03;137.57;34.39
1791;97;254;2018-09-15;2022-06-12;195.14;48.78
1792;30;45;2018-09-12;2019-03-11;25.71;6.43
1793;1;3;2018-09-19;2019-03-03;23.57;5.89
1794;54;109;2018-09-10;2023-01-08;225.86;56.46
1795;79;90;2018-09-09;2020-08-11;100.29;25.07
1797;2;4;2018-09-10;2018-10-06;3.71;0.93
1798;27;112;2018-09-13;2022-12-07;220.86;55.22
1799;33;49;2018-09-09;2023-05-12;243.71;60.93
1800;21;36;2018-09-14;2020-08-22;101.14;25.28
1801;80;22;2018-09-23;2021-10-24;161.0;40.25
1802;42;142;2018-09-18;2023-05-13;242.57;60.64
1803;2;11;2018-09-16;2018-09-25;1.29;0.32
1805;24;45;2018-09-18;2019-06-11;38.0;9.5
1806;97;112;2018-09-17;2023-02-28;232.14;58.04
1807;41;38;2018-09-18;2022-05-06;189.43;47.36
1808;1;5;2018-09-17;2019-01-30;19.29;4.82
1809;76;110;2018-09-19;2022-01-27;175.14;43.78
1810;47;93;2018-09-17;2022-10-13;212.43;53.11
1811;26;201;2019-04-08;2023-03-31;207.57;51.89
1812;21;30;2018-09-16;2019-04-06;28.86;7.22
1813;80;174;2018-10-08;2020-03-27;76.57;19.14
1814;9;8;2018-09-17;2019-05-14;34.14;8.54
1815;41;73;2018-09-21;2019-08-05;45.43;11.36
1816;1;6;2018-09-16;2018-10-17;4.43;1.11
1817;99;102;2018-09-17;2019-06-21;39.57;9.89
1818;67;109;2018-09-17;2020-10-10;107.71;26.93
1819;31;60;2018-09-24;2019-10-15;55.14;13.78
1820;4;20;2019-01-28;2020-07-22;77.29;19.32
1821;6;7;2018-09-27;2018-10-15;2.57;0.64
1822;48;103;2018-12-10;2021-09-30;146.43;36.61
1823;26;31;2019-06-24;2020-02-19;34.29;8.57
1824;91;276;2018-09-25;2023-02-10;228.43;57.11
1825;33;27;2018-09-23;2020-05-26;87.29;21.82
1826;38;54;2018-10-01;2020-11-27;112.57;28.14
1827;17;47;2018-09-27;2019-05-09;32.0;8.0
1828;29;83;2018-10-02;2022-10-10;209.86;52.46
1829;17;21;2019-01-20;2022-03-25;165.71;41.43
1830;20;25;2018-10-01;2019-03-31;25.86;6.46
1831;24;33;2018-09-30;2023-04-13;236.57;59.14
1832;4;6;2018-10-02;2018-10-21;2.71;0.68
1833;97;79;2018-10-02;2020-02-05;70.14;17.54
1834;13;54;2018-10-04;2020-01-16;67.0;16.75
1836;8;18;2018-09-30;2020-11-10;110.29;27.57
1837;10;83;2019-09-18;2022-09-16;156.29;39.07
1839;1;5;2018-11-20;2019-10-02;45.14;11.28
1843;87;108;2018-10-10;2020-08-17;96.71;24.18
1844;26;125;2018-12-10;2023-03-02;220.43;55.11
1845;98;125;2018-10-07;2020-06-12;87.71;21.93
1846;88;690;2018-10-09;2023-01-26;224.29;56.07
1848;95;177;2018-10-09;2022-09-18;205.71;51.43
1850;4;9;2018-10-09;2018-11-05;3.86;0.96
1851;12;22;2018-10-30;2019-06-17;32.86;8.22
1852;13;22;2018-10-09;2019-07-17;40.14;10.04
1853;85;91;2018-10-15;2020-10-27;106.14;26.54
1854;41;63;2018-10-10;2019-11-14;57.14;14.28
1855;2;2;2018-10-09;2018-10-11;0.29;0.07
1858;55;156;2018-10-15;2022-03-29;180.14;45.04
1859;97;116;2018-10-14;2022-09-26;206.14;51.54
1860;32;114;2018-10-14;2023-04-25;236.29;59.07
1861;65;74;2018-10-14;2020-11-21;109.86;27.46
1862;38;46;2018-10-15;2019-05-06;29.0;7.25
1863;97;141;2018-11-26;2022-09-08;197.43;49.36
1864;77;170;2018-10-14;2023-04-20;235.57;58.89
1866;52;238;2018-10-15;2023-01-12;221.43;55.36
1867;87;87;2019-02-05;2023-01-07;204.57;51.14
1869;4;2;2019-02-07;2019-02-12;0.71;0.18
1870;90;345;2019-12-30;2023-01-26;160.43;40.11
1871;80;146;2018-10-22;2019-08-20;43.14;10.78
1872;68;88;2018-10-23;2023-02-08;224.14;56.04
1873;68;124;2018-11-12;2021-08-22;144.86;36.22
1874;76;200;2018-10-22;2023-03-29;231.29;57.82
1875;20;23;2018-10-26;2020-01-17;64.0;16.0
1876;22;12;2018-10-21;2019-09-11;46.43;11.61
1877;31;33;2018-10-22;2019-07-29;40.0;10.0
1878;82;14;2018-10-22;2019-06-10;33.0;8.25
1879;31;72;2018-10-29;2020-09-11;97.57;24.39
1880;38;36;2018-10-30;2019-06-03;30.86;7.72
1881;93;326;2019-06-16;2023-04-10;199.14;49.78
1882;1;10;2018-10-29;2019-06-12;32.29;8.07
1883;4;26;2018-10-30;2022-06-05;187.71;46.93
1884;87;114;2019-08-17;2020-12-11;68.86;17.22
1885;92;145;2018-11-01;2022-12-03;213.29;53.32
1886;30;103;2018-10-29;2022-10-24;208.0;52.0
1887;1;8;2023-03-04;2023-03-13;1.29;0.32
1888;96;291;2018-10-29;2023-04-13;232.43;58.11
1889;13;17;2018-11-05;2019-03-26;20.14;5.04
1890;97;166;2018-11-14;2023-04-25;231.86;57.96
1891;12;13;2018-11-12;2018-11-29;2.43;0.61
1892;60;48;2018-11-04;2020-03-24;72.29;18.07
1893;97;160;2018-11-06;2020-09-27;98.71;24.68
1894;31;39;2018-11-04;2019-02-08;13.71;3.43
1895;92;199;2018-11-04;2020-03-22;72.0;18.0
1896;47;41;2018-11-05;2022-03-11;174.57;43.64
1897;60;176;2018-12-12;2022-04-12;173.86;43.46
1898;25;69;2018-11-14;2022-10-04;202.86;50.72
1900;63;63;2018-11-13;2019-10-31;50.29;12.57
1901;43;92;2018-11-30;2020-01-09;57.86;14.46
1902;23;32;2018-11-25;2020-05-10;76.0;19.0
1904;28;68;2018-11-30;2023-02-02;217.86;54.46
1905;54;77;2018-11-26;2019-11-11;50.0;12.5
1906;66;116;2018-11-28;2022-09-30;200.29;50.07
1907;95;248;2018-11-30;2019-12-18;54.71;13.68
1908;31;39;2018-11-28;2020-01-26;60.57;15.14
1909;3;13;2019-03-29;2020-02-10;45.43;11.36
1910;80;78;2018-12-03;2019-07-25;33.43;8.36
1911;60;91;2018-11-27;2022-10-21;203.43;50.86
1912;37;28;2019-01-04;2021-01-14;105.86;26.46
1914;95;137;2018-11-26;2020-04-01;70.29;17.57
1915;12;48;2018-11-25;2021-03-27;121.86;30.46
1916;94;201;2019-06-16;2022-08-30;167.29;41.82
1917;97;239;2019-12-22;2022-09-01;140.57;35.14
1918;39;73;2018-11-25;2019-07-17;33.43;8.36
1919;64;70;2018-11-25;2021-10-21;151.57;37.89
1920;46;80;2018-11-29;2022-08-24;194.86;48.72
1921;15;111;2018-12-02;2021-07-14;136.43;34.11
1922;1;4;2018-12-16;2019-07-01;28.14;7.04
1923;54;58;2018-12-03;2022-12-03;208.71;52.18
1924;31;204;2018-12-09;2023-04-14;226.71;56.68
1925;88;87;2018-11-26;2021-07-24;138.71;34.68
1926;97;363;2018-11-29;2023-05-11;232.0;58.0
1927;2;9;2018-11-26;2019-01-19;7.71;1.93
1929;47;47;2018-12-03;2019-05-30;25.43;6.36
1930;9;14;2018-12-06;2019-02-02;8.29;2.07
1932;67;174;2018-12-04;2022-04-14;175.29;43.82
1933;31;33;2018-12-08;2021-07-24;137.0;34.25
1934;11;18;2018-12-04;2019-05-05;21.71;5.43
1935;84;61;2018-12-03;2019-07-04;30.43;7.61
1936;21;57;2019-01-12;2023-05-17;226.57;56.64
1937;58;61;2018-12-02;2023-04-18;228.29;57.07
1938;71;159;2018-12-03;2021-10-20;150.29;37.57
1939;25;86;2018-12-03;2022-10-05;200.29;50.07
1940;42;66;2018-12-03;2020-12-11;105.57;26.39
1941;72;78;2019-06-16;2023-01-04;185.43;46.36
1942;45;64;2018-12-10;2021-01-26;111.14;27.78
1944;1;19;2018-12-11;2019-06-10;25.86;6.46
1945;87;102;2018-12-10;2022-01-09;160.86;40.22
1947;7;13;2018-12-10;2019-10-14;44.0;11.0
1948;95;88;2018-12-11;2019-12-25;54.14;13.54
1949;18;27;2018-12-11;2020-01-01;55.14;13.78
1950;82;53;2018-12-10;2020-04-09;69.43;17.36
1951;2;11;2019-05-23;2020-10-22;74.0;18.5
1952;20;31;2018-12-11;2022-10-20;201.29;50.32
1954;97;166;2018-12-11;2020-02-01;59.57;14.89
1955;40;161;2018-12-11;2022-06-13;182.86;45.72
1956;61;135;2018-12-23;2022-11-30;205.43;51.36
1957;24;35;2018-12-11;2020-05-28;76.29;19.07
1959;2;6;2019-12-14;2019-12-16;0.29;0.07
1961;71;122;2018-12-10;2022-06-28;185.14;46.28
1962;8;25;2018-12-13;2020-01-13;56.57;14.14
1963;16;50;2018-12-10;2021-02-18;114.43;28.61
1969;34;42;2018-12-11;2022-09-25;197.71;49.43
1972;12;20;2018-12-21;2020-04-17;69.0;17.25
1973;3;21;2018-12-10;2019-07-15;31.0;7.75
1974;42;183;2018-12-12;2022-08-28;193.57;48.39
1975;17;25;2018-12-10;2019-12-13;52.57;13.14
1977;92;192;2018-12-10;2023-05-13;230.71;57.68
1978;21;44;2018-12-11;2023-02-11;217.57;54.39
1981;16;27;2018-12-15;2019-04-25;18.71;4.68
1982;38;85;2019-01-12;2019-05-14;17.43;4.36
1983;6;28;2019-01-15;2023-02-17;213.43;53.36
1984;92;100;2018-12-30;2023-04-24;225.14;56.28
1986;10;18;2018-12-10;2019-01-11;4.57;1.14
1987;64;215;2018-12-12;2023-03-29;224.0;56.0
1988;29;29;2018-12-13;2019-11-27;49.86;12.46
1989;27;39;2018-12-20;2019-03-17;12.43;3.11
1990;14;28;2018-12-10;2019-10-28;46.0;11.5
1991;6;11;2018-12-10;2019-12-04;51.29;12.82
1992;33;120;2019-01-24;2020-06-10;71.86;17.96
1993;16;49;2018-12-18;2021-02-12;112.43;28.11
1994;42;75;2018-12-12;2022-09-10;195.43;48.86
1996;7;16;2018-12-31;2022-11-23;203.29;50.82
1997;9;24;2019-03-24;2020-12-12;89.86;22.46
1998;73;57;2018-12-13;2021-06-30;132.86;33.22
1999;2;11;2018-12-13;2019-01-06;3.43;0.86
2000;26;45;2018-12-09;2019-05-25;23.86;5.96
2001;71;10;2018-12-09;2022-08-06;190.86;47.72
2003;3;9;2018-12-12;2019-01-07;3.71;0.93
2004;1;2;2018-12-31;2019-01-03;0.43;0.11
2005;19;25;2018-12-13;2020-05-12;73.71;18.43
2006;70;75;2018-12-29;2022-01-19;159.57;39.89
2007;74;52;2018-12-17;2022-06-09;181.43;45.36
2008;27;36;2018-12-10;2020-08-12;87.29;21.82
2009;52;129;2018-12-13;2023-03-21;222.71;55.68
2010;4;8;2019-01-16;2019-05-06;15.71;3.93
2011;40;87;2018-12-09;2021-08-28;141.86;35.47
2012;1;6;2018-12-10;2019-01-05;3.71;0.93
2013;4;12;2018-12-09;2019-01-16;5.43;1.36
2014;18;21;2018-12-09;2019-05-08;21.43;5.36
2016;8;10;2018-12-10;2019-03-05;12.14;3.04
2017;24;17;2018-12-10;2020-02-01;59.71;14.93
2018;15;78;2018-12-10;2023-05-04;229.43;57.36
2019;25;32;2018-12-15;2019-07-15;30.29;7.57
2020;3;13;2019-03-18;2019-04-15;4.0;1.0
2021;13;14;2018-12-09;2018-12-31;3.14;0.78
2022;31;33;2018-12-09;2019-09-02;38.14;9.54
2023;15;22;2018-12-10;2020-04-12;69.86;17.46
2026;27;46;2019-03-28;2019-07-11;15.0;3.75
2027;55;60;2018-12-11;2019-08-20;36.0;9.0
2029;99;139;2018-12-10;2023-05-16;231.14;57.78
2030;9;23;2018-12-23;2020-01-11;54.86;13.72
2031;4;4;2019-01-03;2019-01-14;1.57;0.39
2033;93;447;2018-12-09;2022-06-17;183.71;45.93
2034;23;94;2019-02-25;2022-11-02;192.29;48.07
2035;48;309;2018-12-15;2023-03-27;223.29;55.82
2036;55;57;2018-12-18;2019-07-08;28.86;7.22
2037;88;45;2018-12-19;2023-04-21;226.29;56.57
2038;12;25;2018-12-17;2019-01-09;3.29;0.82
2039;35;99;2019-01-29;2021-10-23;142.57;35.64
2040;86;181;2018-12-17;2023-02-27;219.0;54.75
2041;92;163;2018-12-16;2021-11-19;152.71;38.18
2042;35;155;2018-12-19;2022-12-11;207.57;51.89
2044;25;109;2019-01-07;2021-05-27;124.43;31.11
2045;37;38;2018-12-25;2019-04-20;16.57;4.14
2047;12;28;2019-01-05;2019-08-13;31.43;7.86
2048;92;224;2019-03-24;2023-04-21;212.71;53.18
2049;21;31;2018-12-24;2020-02-27;61.43;15.36
2050;91;165;2018-12-24;2023-03-03;218.57;54.64
2051;2;21;2019-01-07;2019-11-30;46.71;11.68
2052;51;69;2018-12-24;2019-11-14;46.43;11.61
2053;55;129;2018-12-25;2020-09-07;88.86;22.22
2054;99;70;2019-01-01;2022-12-30;208.43;52.11
2055;97;194;2019-02-24;2021-10-25;139.14;34.78
2056;67;133;2018-12-31;2023-02-14;215.14;53.78
2057;55;167;2019-01-01;2022-05-04;174.14;43.54
2058;82;208;2018-12-30;2023-03-29;221.43;55.36
2059;55;458;2018-12-31;2022-03-23;168.29;42.07
2060;72;87;2019-11-21;2023-01-06;163.14;40.78
2061;30;23;2018-12-31;2019-03-16;10.71;2.68
2062;14;38;2019-01-06;2019-03-30;11.86;2.96
2063;11;57;2019-01-03;2019-06-20;24.0;6.0
2064;8;16;2019-01-10;2019-09-07;34.29;8.57
2065;12;25;2019-01-08;2019-02-06;4.14;1.03
2066;43;35;2019-01-08;2019-07-01;24.86;6.22
2067;57;209;2019-01-17;2023-05-06;224.29;56.07
2068;82;81;2019-01-08;2023-05-04;225.29;56.32
2069;59;86;2019-01-07;2022-09-29;194.43;48.61
2070;1;3;2019-01-07;2019-01-09;0.29;0.07
2071;25;41;2019-01-06;2022-03-02;164.43;41.11
2072;7;50;2019-12-16;2022-04-07;120.43;30.11
2073;60;38;2019-01-07;2020-06-06;73.71;18.43
2074;71;74;2019-01-29;2019-11-08;40.43;10.11
2075;15;16;2019-01-07;2019-02-12;5.14;1.28
2076;92;128;2019-01-15;2023-03-05;215.71;53.93
2077;2;7;2019-01-24;2019-04-16;11.71;2.93
2078;32;44;2019-02-12;2022-11-22;197.0;49.25
2079;98;105;2019-04-03;2021-04-13;105.86;26.46
2080;37;100;2019-01-13;2023-01-19;209.57;52.39
2081;27;46;2019-01-14;2022-12-02;202.57;50.64
2082;62;78;2019-01-14;2020-04-23;66.43;16.61
2083;44;82;2019-01-14;2020-07-22;79.29;19.82
2084;8;17;2021-02-16;2022-11-19;91.57;22.89
2085;33;58;2019-01-21;2022-10-24;196.0;49.0
2086;52;44;2019-01-21;2019-08-16;29.57;7.39
2087;8;23;2019-01-23;2019-10-26;39.43;9.86
2088;93;258;2019-01-23;2019-11-13;42.0;10.5
2089;21;108;2019-01-20;2023-01-16;208.14;52.04
2090;3;6;2019-01-23;2019-02-08;2.29;0.57
2091;4;6;2019-01-22;2019-01-28;0.86;0.22
2092;38;33;2019-01-22;2019-09-30;35.86;8.96
2093;26;30;2019-01-21;2019-04-12;11.57;2.89
2094;1;6;2019-03-04;2019-03-18;2.0;0.5
2095;25;59;2019-01-21;2020-10-06;89.14;22.28
2096;8;19;2019-01-26;2019-07-07;23.14;5.78
2097;31;87;2019-01-22;2020-03-20;60.43;15.11
2098;95;172;2019-01-26;2020-01-29;52.57;13.14
2099;9;9;2019-01-20;2019-03-07;6.57;1.64
2100;11;14;2019-01-25;2019-12-26;47.86;11.96
2101;24;59;2019-01-21;2021-11-25;148.43;37.11
2102;5;9;2019-03-04;2019-09-27;29.57;7.39
2103;5;5;2019-01-30;2021-09-21;137.86;34.47
2105;5;6;2019-01-22;2019-06-30;22.71;5.68
2106;66;58;2019-01-20;2019-12-18;47.43;11.86
2108;16;14;2019-01-20;2019-03-04;6.14;1.54
2109;32;72;2019-01-22;2023-03-06;214.86;53.72
2110;60;120;2019-01-22;2022-12-12;202.86;50.72
2111;57;74;2019-01-21;2022-10-20;195.43;48.86
2112;26;36;2019-01-28;2022-06-03;174.57;43.64
2113;5;21;2019-01-25;2020-12-01;96.57;24.14
2115;4;11;2019-01-24;2019-12-13;46.14;11.54
2116;52;60;2019-01-25;2019-10-30;39.71;9.93
2118;27;43;2019-01-27;2021-01-05;101.29;25.32
2119;5;7;2019-01-20;2019-10-26;39.86;9.96
2120;3;9;2020-03-22;2020-12-21;39.14;9.78
2121;49;91;2019-01-21;2021-04-21;117.29;29.32
2122;10;13;2019-01-25;2019-03-03;5.29;1.32
2123;3;6;2019-01-23;2019-02-17;3.57;0.89
2124;55;80;2019-02-01;2022-11-29;199.57;49.89
2125;49;32;2019-01-28;2019-07-28;25.86;6.46
2127;60;63;2019-01-28;2021-02-07;105.86;26.46
2128;20;30;2019-01-28;2021-02-07;105.86;26.46
2129;53;108;2019-01-30;2022-10-20;194.14;48.54
2130;4;16;2019-03-04;2019-05-06;9.0;2.25
2132;81;188;2019-01-29;2020-12-20;98.71;24.68
2133;3;11;2019-02-02;2019-08-08;26.71;6.68
2134;95;135;2019-01-28;2022-07-05;179.14;44.78
2135;27;48;2019-01-30;2019-09-14;32.43;8.11
2136;26;32;2019-01-30;2021-05-20;120.14;30.04
2138;48;56;2019-01-27;2021-04-15;115.57;28.89
2139;45;64;2019-01-29;2021-04-20;116.0;29.0
2140;28;90;2019-01-31;2020-10-10;88.29;22.07
2141;66;59;2019-01-30;2022-09-30;191.29;47.82
2142;76;111;2019-01-28;2022-11-12;197.71;49.43
2143;34;47;2019-02-05;2021-05-06;117.29;29.32
2144;19;31;2019-02-03;2022-07-21;180.57;45.14
2145;62;49;2019-02-04;2020-10-08;87.43;21.86
2146;27;61;2019-02-06;2019-12-30;46.71;11.68
2147;13;379;2019-10-23;2023-05-17;186.0;46.5
2149;40;85;2019-02-05;2021-02-18;106.29;26.57
2150;5;5;2019-07-17;2019-08-18;4.57;1.14
2151;26;44;2019-02-08;2020-01-05;47.29;11.82
2152;59;168;2019-02-14;2022-08-03;180.86;45.22
2153;30;37;2019-02-03;2019-08-12;27.14;6.78
2154;31;46;2019-02-05;2019-08-15;27.29;6.82
2155;82;360;2019-02-07;2023-05-16;222.71;55.68
2156;88;158;2019-02-08;2023-01-31;207.57;51.89
2157;26;45;2019-02-14;2022-01-13;152.0;38.0
2158;14;33;2019-02-11;2021-02-28;106.86;26.72
2159;30;56;2019-03-11;2022-08-02;177.14;44.28
2160;5;15;2019-02-10;2019-09-02;29.14;7.28
2161;96;55;2019-05-02;2020-08-29;69.29;17.32
2162;5;165;2020-06-07;2023-02-11;139.86;34.97
2163;48;89;2019-07-28;2020-08-22;55.86;13.96
2164;2;8;2019-02-19;2020-01-15;47.14;11.78
2165;26;26;2019-02-19;2019-05-27;13.86;3.46
2166;81;98;2019-02-21;2020-04-13;59.57;14.89
2169;24;94;2019-08-12;2023-05-16;196.14;49.04
2170;2;3;2019-04-16;2019-04-18;0.29;0.07
2171;30;51;2019-10-01;2023-01-15;171.71;42.93
2172;2;12;2019-02-18;2019-07-28;22.86;5.72
2173;19;43;2019-02-17;2023-03-26;214.0;53.5
2174;92;93;2019-02-24;2021-02-07;102.0;25.5
2176;63;199;2019-04-16;2023-04-05;207.14;51.78
2177;57;51;2019-02-24;2023-03-25;212.86;53.22
2178;1;9;2019-03-01;2019-05-20;11.43;2.86
2179;21;18;2019-02-25;2019-05-08;10.29;2.57
2180;21;37;2019-03-14;2020-04-27;58.57;14.64
2183;90;203;2019-04-02;2023-05-14;214.71;53.68
2184;14;27;2019-03-13;2023-03-06;207.71;51.93
2185;26;160;2020-03-09;2023-03-25;158.71;39.68
2186;85;128;2019-03-12;2023-05-04;216.29;54.07
2189;2;9;2019-03-11;2019-03-27;2.29;0.57
2190;44;178;2019-03-11;2023-02-15;205.29;51.32
2191;70;61;2019-03-10;2023-05-12;217.71;54.43
2192;95;85;2019-03-11;2022-03-25;158.57;39.64
2193;50;477;2019-04-20;2023-05-16;212.43;53.11
2194;58;89;2019-03-14;2021-11-06;138.29;34.57
2195;16;56;2019-03-14;2023-01-09;199.57;49.89
2196;9;15;2019-03-12;2019-03-25;1.86;0.46
2197;30;25;2019-03-12;2019-05-27;10.86;2.72
2198;90;102;2019-03-12;2020-10-01;81.29;20.32
2199;16;24;2019-04-18;2019-10-09;24.86;6.22
2200;22;110;2019-03-13;2023-03-28;210.86;52.72
2201;0;55;2019-06-28;2023-05-05;201.0;50.25
2203;60;51;2019-03-13;2019-08-03;20.43;5.11
2204;51;192;2019-03-17;2022-08-26;179.71;44.93
2206;76;136;2019-03-10;2023-05-12;217.71;54.43
2207;16;45;2019-03-10;2019-11-27;37.43;9.36
2208;95;280;2019-08-07;2022-03-24;137.14;34.28
2209;82;82;2019-03-10;2021-03-02;103.29;25.82
2211;77;156;2019-03-20;2021-09-25;131.43;32.86
2212;16;34;2019-04-14;2019-12-20;35.71;8.93
2214;27;8;2019-03-18;2019-09-08;24.86;6.22
2215;95;94;2019-03-18;2021-02-17;100.29;25.07
2216;44;67;2019-03-25;2023-04-25;213.14;53.28
2217;19;32;2019-04-01;2023-01-11;197.29;49.32
2219;28;233;2019-03-31;2023-04-12;210.43;52.61
2220;25;23;2019-04-05;2023-04-05;208.71;52.18
2221;66;56;2019-04-01;2019-10-25;29.57;7.39
2222;32;46;2019-10-28;2021-11-22;108.0;27.0
2223;82;193;2019-04-09;2022-12-13;192.0;48.0
2224;47;54;2019-04-02;2023-04-06;209.29;52.32
2225;42;65;2019-04-01;2022-02-10;149.43;37.36
2226;96;187;2019-03-31;2020-07-03;65.71;16.43
2227;1;16;2019-04-02;2020-01-13;40.86;10.22
2228;27;95;2019-03-31;2023-02-28;204.29;51.07
2229;25;96;2019-03-31;2023-02-13;202.14;50.54
2230;35;110;2019-04-02;2022-05-10;162.0;40.5
2231;97;570;2019-04-03;2023-05-15;214.71;53.68
2233;16;14;2019-04-08;2019-05-21;6.14;1.54
2235;93;149;2019-04-09;2023-02-25;202.57;50.64
2236;91;51;2019-04-12;2020-07-02;63.86;15.96
2237;9;33;2019-04-08;2022-04-01;155.57;38.89
2238;62;118;2019-04-10;2020-11-30;85.71;21.43
2239;20;23;2019-04-09;2020-03-31;51.0;12.75
2240;51;173;2019-04-07;2022-11-03;186.57;46.64
2242;12;30;2019-04-09;2019-06-25;11.0;2.75
2243;27;81;2019-04-13;2020-01-05;38.14;9.54
2244;10;6;2019-04-08;2019-05-09;4.43;1.11
2246;42;55;2019-04-07;2023-04-18;210.29;52.57
2247;1;6;2019-04-28;2021-03-18;98.57;24.64
2248;20;27;2019-04-07;2019-11-15;31.71;7.93
2249;7;33;2019-04-12;2020-10-10;78.14;19.54
2250;5;21;2019-04-14;2023-01-20;196.71;49.18
2251;25;23;2019-04-24;2021-11-20;134.43;33.61
2252;1;5;2019-04-24;2020-07-11;63.43;15.86
2253;14;10;2019-04-08;2019-10-28;29.0;7.25
2254;96;82;2019-04-07;2023-01-30;199.14;49.78
2255;74;134;2019-04-19;2022-12-17;191.14;47.78
2256;2;6;2019-04-11;2019-04-15;0.57;0.14
2258;25;37;2019-04-07;2021-11-17;136.43;34.11
2259;80;58;2019-04-08;2023-02-25;202.71;50.68
2260;8;19;2019-04-18;2020-03-05;46.0;11.5
2261;39;36;2019-04-08;2021-03-05;99.57;24.89
2262;20;24;2019-04-08;2022-10-19;184.29;46.07
2264;38;24;2019-04-07;2020-01-28;42.29;10.57
2265;52;84;2019-04-08;2022-12-05;191.0;47.75
2266;81;167;2019-04-10;2021-10-20;132.0;33.0
2267;25;29;2019-04-08;2021-04-23;106.57;26.64
2268;30;34;2019-04-09;2019-11-25;32.86;8.22
2269;3;6;2019-04-15;2019-06-14;8.57;2.14
2273;30;63;2019-04-10;2020-01-22;41.0;10.25
2274;81;299;2019-04-08;2023-05-13;213.71;53.43
2275;8;9;2020-01-11;2020-04-14;13.43;3.36
2276;92;100;2019-04-08;2020-01-05;38.86;9.72
2278;71;35;2019-04-13;2022-06-24;166.86;41.72
2279;57;40;2019-04-08;2021-08-06;121.57;30.39
