;Product Progress;Logins;Start Date;Last Activity At;Days Lapsed;Months Lapsed
121;88;207;2019-07-21;2023-04-17;195.14;48.78
122;28;36;2018-06-04;2020-11-10;127.14;31.78
123;89;78;2020-09-29;2021-05-16;32.71;8.18
124;72;212;2019-07-20;2023-05-14;199.14;49.78
125;73;76;2021-02-08;2022-10-15;87.71;21.93
126;96;208;2018-05-06;2022-12-02;238.71;59.68
127;92;74;2018-04-29;2019-12-21;85.86;21.46
128;18;300;2018-09-09;2019-11-01;59.71;14.93
129;16;64;2018-09-03;2023-01-05;226.43;56.61
130;61;57;2019-06-17;2020-02-08;33.71;8.43
131;94;120;2018-05-06;2022-12-14;240.43;60.11
132;18;368;2018-04-29;2023-05-16;263.29;65.82
133;62;165;2018-04-29;2020-08-15;119.86;29.96
134;3;38;2018-05-03;2020-08-26;120.86;30.22
136;96;194;2018-04-29;2021-09-30;178.57;44.64
137;57;189;2018-04-29;2021-11-07;184.0;46.0
138;28;90;2018-09-04;2022-04-24;189.71;47.43
139;97;245;2018-05-06;2021-03-13;148.86;37.22
140;87;807;2020-06-26;2023-05-17;150.71;37.68
141;13;58;2018-05-01;2021-02-21;146.71;36.68
142;23;188;2018-04-30;2021-03-08;149.0;37.25
143;67;121;2018-09-03;2022-01-05;174.29;43.57
145;70;141;2018-04-29;2021-04-26;156.14;39.03
146;16;134;2018-09-09;2022-11-02;216.43;54.11
147;88;212;2018-04-29;2022-11-28;239.14;59.78
148;82;125;2019-06-24;2023-05-15;203.0;50.75
149;26;101;2018-09-06;2022-10-07;213.14;53.28
150;40;254;2018-09-03;2023-05-16;245.14;61.28
151;79;229;2018-09-11;2023-05-01;241.86;60.46
152;88;263;2018-05-06;2021-10-14;179.57;44.89
153;78;105;2020-05-01;2021-01-01;35.0;8.75
154;84;141;2018-05-04;2023-05-17;262.71;65.68
155;2;70;2019-04-22;2019-10-09;24.29;6.07
156;14;95;2020-01-29;2022-09-23;138.29;34.57
157;82;429;2018-04-30;2023-05-10;262.29;65.57
158;1;45;2018-05-08;2018-05-17;1.29;0.32
159;81;180;2021-04-11;2023-04-08;103.86;25.96
160;15;263;2018-09-09;2023-03-04;233.86;58.46
161;2;43;2018-09-14;2021-03-23;131.57;32.89
162;75;120;2018-04-29;2019-07-16;63.29;15.82
163;97;131;2018-04-30;2022-02-10;197.43;49.36
164;92;259;2019-06-23;2020-04-13;42.14;10.54
165;83;143;2018-09-13;2022-12-20;222.71;55.68
166;5;16;2020-03-09;2021-09-21;80.14;20.04
167;71;290;2018-05-05;2023-04-21;258.86;64.72
168;80;339;2018-04-29;2023-05-02;261.29;65.32
169;96;139;2019-06-23;2020-06-15;51.14;12.78
170;54;412;2018-09-18;2023-05-13;242.57;60.64
171;90;451;2018-04-29;2023-03-04;252.86;63.22
172;7;47;2019-06-17;2019-07-06;2.71;0.68
173;79;145;2019-09-15;2022-11-15;165.29;41.32
174;30;80;2019-07-23;2021-05-11;94.0;23.5
175;40;91;2019-04-10;2023-01-23;197.71;49.43
176;96;546;2018-04-29;2023-02-12;250.0;62.5
177;24;48;2018-05-10;2020-11-03;129.71;32.43
178;47;288;2018-05-01;2022-10-31;234.86;58.72
179;13;22;2019-12-16;2020-01-10;3.57;0.89
180;74;271;2018-05-13;2023-03-24;253.71;63.43
181;25;89;2019-06-23;2021-04-08;93.57;23.39
182;30;58;2018-04-29;2019-01-21;38.14;9.54
184;96;141;2018-04-29;2021-12-20;190.14;47.54
185;55;197;2018-05-01;2022-10-14;232.43;58.11
186;85;72;2018-04-30;2020-04-13;102.0;25.5
187;18;52;2018-09-04;2020-07-03;95.43;23.86
189;94;225;2018-05-09;2023-05-14;261.57;65.39
190;15;54;2018-06-08;2020-06-03;103.71;25.93
192;99;231;2018-04-29;2020-05-23;107.86;26.96
193;94;174;2018-04-29;2023-05-16;263.29;65.82
