Product Progress;Logins;Start Date;Last Activity At;Days Lapsed;Months Lapsed
65;380;2018-05-20;2023-05-05;258.71;64.68
19;81;2018-05-06;2022-08-25;224.57;56.14
21;47;2018-05-08;2019-05-09;52.29;13.07
81;210;2018-09-10;2022-04-02;185.71;46.43
97;246;2020-01-26;2021-07-14;76.43;19.11
80;293;2018-04-30;2023-03-04;252.71;63.18
96;393;2018-04-29;2023-03-31;256.71;64.18
82;788;2018-04-29;2023-05-16;263.29;65.82
2;39;2023-04-19;2023-04-21;0.29;0.07
15;40;2019-07-27;2021-03-20;86.0;21.5
93;93;2018-04-29;2023-04-28;260.71;65.18
7;39;2020-08-17;2021-04-07;33.29;8.32
9;30;2018-05-09;2019-07-27;63.43;15.86
95;390;2018-05-06;2023-05-07;261.0;65.25
97;134;2018-05-08;2020-10-16;127.43;31.86
2;23;2018-09-11;2018-09-27;2.29;0.57
2;42;2018-05-21;2018-10-05;19.57;4.89
15;399;2018-05-06;2023-04-15;257.86;64.46
96;502;2018-04-29;2023-03-23;255.57;63.89
43;73;2018-04-29;2019-05-30;56.57;14.14
68;99;2019-01-28;2019-08-05;27.0;6.75
81;158;2019-10-27;2023-02-05;171.0;42.75
2;8;2018-05-01;2018-05-02;0.14;0.04
61;161;2018-04-29;2023-03-16;254.57;63.64
6;24;2018-09-03;2018-11-26;12.0;3.0
88;178;2019-11-25;2021-02-28;65.86;16.46
95;69;2018-05-04;2021-06-08;161.57;40.39
14;51;2018-05-08;2022-04-12;205.0;51.25
81;67;2018-05-10;2019-06-15;57.29;14.32
43;139;2018-05-06;2022-11-24;237.57;59.39
59;252;2019-07-09;2022-09-25;167.71;41.93
93;278;2018-04-29;2023-05-11;262.57;65.64
7;39;2019-04-28;2021-01-12;89.29;22.32
92;274;2018-05-08;2023-04-27;259.29;64.82
31;36;2020-03-23;2022-08-17;125.29;31.32
5;56;2018-04-29;2020-04-05;101.0;25.25
51;226;2018-06-16;2023-05-16;256.43;64.11
48;159;2018-05-07;2020-09-09;122.29;30.57
55;46;2018-04-30;2019-04-16;50.14;12.54
1;87;2021-04-06;2023-03-28;103.0;25.75
47;120;2019-04-29;2020-03-10;45.14;11.28
47;141;2018-04-29;2022-03-19;202.86;50.72
5;13;2019-09-05;2019-10-27;7.43;1.86
98;139;2018-05-14;2019-05-30;54.43;13.61
25;68;2018-05-01;2019-07-26;64.43;16.11
90;225;2019-07-21;2022-01-31;132.14;33.03
16;61;2018-05-06;2018-12-08;30.86;7.72
92;103;2018-05-21;2020-07-02;110.43;27.61
3;24;2019-11-24;2019-12-05;1.57;0.39
36;78;2018-04-30;2023-01-10;245.14;61.28
97;181;2018-09-03;2021-10-25;164.0;41.0
69;226;2018-04-30;2023-02-20;251.0;62.75
79;156;2018-05-01;2022-11-27;238.71;59.68
